time;lat;lon;alt;roll;pitch;head;ub;nsat
0:00:00.26;44.934037;37.337259;500.0;1.568;-0.001;3.866;0;0
0:00:00.48;44.934035;37.337264;500.0;1.567;-0.001;3.899;0;0
0:00:00.67;44.934049;37.337161;500.0;1.567;-0.001;3.899;0;0
0:00:00.86;44.934078;37.337181;500.0;1.567;-0.001;3.901;0;0
0:00:01.08;44.934097;37.337152;500.0;1.567;-0.001;3.902;0;0
0:00:01.34;44.934124;37.337185;500.0;1.567;-0.001;3.895;0;0
0:00:01.54;44.934123;37.337179;500.0;1.567;-0.001;3.895;0;0
0:00:01.76;44.93414;37.337194;500.0;1.567;-0.001;3.913;0;0
0:00:01.97;44.934143;37.337178;500.0;1.567;-0.001;3.929;0;0
0:00:02.16;44.934161;37.337202;500.0;1.567;-0.001;3.929;0;0
0:00:02.38;44.934153;37.337143;500.0;1.567;-0.001;3.91;0;0
0:00:02.59;44.934149;37.337203;500.0;1.567;-0.001;3.91;0;0
0:00:02.79;44.934113;37.337175;500.0;1.567;-0.001;3.9;0;0
0:00:02.99;44.934118;37.337201;500.0;1.567;-0.001;3.9;0;0
0:00:03.54;44.934103;37.337166;500.0;1.567;-0.001;3.893;0;0
0:00:03.74;44.93406;37.337178;500.0;1.567;-0.001;3.878;0;0
0:00:03.94;44.934063;37.337181;500.0;1.567;-0.001;3.885;0;0
0:00:04.31;44.934047;37.337125;500.0;1.567;-0.001;3.896;0;0
0:00:04.51;44.934116;37.337172;500.0;1.567;-0.001;3.9;0;0
0:00:04.70;44.93412;37.337153;500.0;1.567;-0.001;3.9;0;0
0:00:04.89;44.934125;37.33713;500.0;1.567;-0.001;3.876;0;0
0:00:05.08;44.934171;37.337156;500.0;1.567;-0.001;3.905;0;0
0:00:05.29;44.934175;37.337219;500.0;1.567;-0.001;3.878;0;0
0:00:05.46;44.934191;37.337142;500.0;1.567;-0.001;3.932;0;0
0:00:05.64;44.934173;37.337168;500.0;1.567;-0.001;3.906;0;0
0:00:05.84;44.934217;37.337215;500.0;1.567;-0.001;3.915;0;0
0:00:06.03;44.934196;37.337149;500.0;1.567;-0.001;3.905;0;0
0:00:06.22;44.934223;37.337161;500.0;1.567;-0.001;3.905;0;0
0:00:06.42;44.934221;37.337185;500.0;1.567;-0.001;3.925;0;0
0:00:06.61;44.934204;37.337134;500.0;1.567;-0.001;3.894;0;0
